entity,robots,algorithms,unknown,frequency
30 years ago,1,0,-1,4
as early as 2025,1,0,-1,4
coming years,1,0,-1,7
the coming decade,1,0,-1,5
the early 2030s,1,0,-1,14
the last 20 years,1,0,-1,3
"the next 1,000 to 10,000 years",1,0,-1,9
the next 10 to 20 years,1,0,-1,4
the next 100 years,1,0,-1,7
the next 20 to 30 years,1,0,-1,4
the next 25 years,1,0,-1,7
the next 30 years,1,0,-1,13
the next century,1,0,-1,8
the next five to 10 years,1,0,-1,5
the next three years,1,0,-1,7
the past 15 years,1,0,-1,3
the past 25 years,1,0,-1,5
the year 2045,1,0,-1,3
this century,1,0,-1,24
the coming decades,"0.9548292403","0.0451707597","0.9096584806",24
the next decade,"0.9458346988","0.05416530115","0.8916693977",40
the next few decades,"0.9429970478","0.05700295221","0.8859940956",19
the next 20 years,"0.9168650407","0.08313495927","0.8337300815",13
the next 10 years,"0.8921423027","0.1078576973","0.7842846055",10
the next ten years,"0.8921423027","0.1078576973","0.7842846055",10
150 years ago,"0.8802742584","0.1197257416","0.7605485168",9
the next two decades,"0.8654715129","0.1345284871","0.7309430258",8
the next five years,"0.8517218113","0.1482781887","0.7034436226",29
the next 50 years,"0.8464919656","0.1535080344","0.6929839313",7
the next 15 years,"0.8212774289","0.1787225711","0.6425548578",12
the next four years,"0.8212774289","0.1787225711","0.6425548578",6
a few years ago,"0.8052860082","0.1947139918","0.6105720165",11
the end of next year,"0.7861516671","0.2138483329","0.5723033342",5
the end of this month,"0.7861516671","0.2138483329","0.5723033342",5
the end of this year,"0.7861516671","0.2138483329","0.5723033342",5
the years ahead,"0.7861516671","0.2138483329","0.5723033342",5
tomorrow,"0.7536149454","0.2463850546","0.5072298907",57
20 years ago,"0.7338414128","0.2661585872","0.4676828257",4
the last five years,"0.7338414128","0.2661585872","0.4676828257",4
the past four years,"0.7338414128","0.2661585872","0.4676828257",4
the next few years,"0.7242037604","0.2757962396","0.4484075207",27
late last year,"0.6967521018","0.3032478982","0.3935042037",7
this summer,"0.6967521018","0.3032478982","0.3935042037",7
the coming years,"0.6819800296","0.3180199704","0.3639600593",20
a decade ago,"0.647652302","0.352347698","0.295304604",6
decades ago,"0.647652302","0.352347698","0.295304604",3
eight years ago,"0.647652302","0.352347698","0.295304604",3
the last six months,"0.647652302","0.352347698","0.295304604",3
earlier this month,"0.6097393176","0.3902606824","0.2194786352",32
next week,"0.6050170304","0.3949829696","0.2100340608",16
the past decade,"0.5952211054","0.4047788946","0.1904422109",13
10 years ago,"0.5795809627","0.4204190373","0.1591619253",5
the coming year,"0.5795809627","0.4204190373","0.1591619253",5
the next two years,"0.5795809627","0.4204190373","0.1591619253",10
next month,"0.5626836125","0.4373163875","0.125367225",12
the past two years,"0.5506433446","0.4493566554","0.1012866891",7
recent years,"0.5215401225","0.4784598775","0.04308024498",94
this month,"0.5166050567","0.4833949433","0.03321011344",46
today,"0.5051440329","0.4948559671","0.01028806582",459
this year,"0.4879431111","0.5120568889","0.02411377789",109
earlier this year,"0.4852576349","0.5147423651","0.02948473014",62
two weeks ago,"0.4813945533","0.5186054467","0.03721089345",5
next year,"0.4797517799","0.5202482201","0.0404964403",40
a few months ago,"0.4789096051","0.5210903949","0.04218078981",4
five years ago,"0.4789096051","0.5210903949","0.04218078981",8
the last 12 months,"0.4789096051","0.5210903949","0.04218078981",4
